initial_values, w51, w52, cost
1e-8, 1.067e-08, 1.061e-08, 4.2841e-02
1e-9, 2.055e-07, 5.757e-10, 4.1331e-02
1e-10, 3.820e-08, 1.000e-10, 4.1620e-02
1e-11, 3.820e-08, 1.000e-10, 4.1620e-02
1e-12, 3.820e-08, 1.000e-10, 4.1620e-02
1e-13, 3.820e-08, 1.000e-10, 4.1620e-02
1e-14, 3.820e-08, 1.000e-10, 4.1620e-02
1e-15, 3.820e-08, 1.000e-10, 4.1620e-02
1e-16, 3.820e-08, 1.000e-10, 4.1620e-02
1e-17, 3.820e-08, 1.000e-10, 4.1620e-02
1e-18, 3.820e-08, 1.000e-10, 4.1620e-02
1e-19, 3.820e-08, 1.000e-10, 4.1620e-02
1e-20, 3.820e-08, 1.000e-10, 4.1620e-02
1e-21, 3.820e-08, 1.000e-10, 4.1620e-02
